data,hits,visitors
1602706/0001144204-17-020757/Financial_Report.xls,1,1
1022408/0001019973-16-000021/gtm.js,1,1
800459/0000800459-00-000007/0005.txt,1,1
735571/0000735571-06-001163/primary_doc.xml,1,1
1116581/0001116581-06-000013/R1.htm,1,1
728478/0000728478-11-002796/primary_doc.xml,1,1
1100389/0001193125-05-070196/remington-venture-2003-05-15.shtml,1,1
84129/0000950172-00-001127/0019.txt,1,1
51143/0001181431-08-055136/-index-headers.html,1,1
726509/0001193125-12-159051/d299628d485bpos.htm.pin,1,1
65984/0000065984-17-000077/gtm.js,1,1
1116548/0001116548-14-000004/R1.htm,1,1
882509/0001362310-09-001462/R1.htm,1,1
921864/0000839947-05-000038/R1.htm,1,1
1671604/0001671604-17-000311/primary_doc.xml,1,1
51143/0001181431-04-033434/-index-headers.html,1,1
827164/0001092388-00-000842/0002.txt,1,1
764065/0001652014-17-000001/xslF345X03/wf-form4_149364127998692.xml,1,1
1053532/0000950130-02-001261/-index-headers.html,1,1
64040/0000940180-00-001024/0003.txt,1,1
1037461/0001391259-10-000003/edgar.html,1,1
18808/9999999997-11-005898/.txt,1,1
911650/0000897101-00-000628/0006.txt,1,1
866842/0000866842-17-000004/primary_doc.html,1,1
1490630/0001140361-17-023649/xslF345X03/doc4.xml,1,1
51143/0000950157-95-000318/-index-headers.html,1,1
1477200/0001477200-15-000110/Financial_Report.xlsx,1,1
136792/0001367920-16-000039/cnce-20160630.xml,1,1
63908/0000063908-16-000121/Financial_Report.xls,1,1
1497504/0001497504-17-000002/primary_doc.xml,1,1
1701509/0001701509-17-000030/primary_doc.xml,1,1
1289490/0001179110-17-005414/gtm.start,1,1
1415404/0001104659-16-133554/gtm.start,1,1
21221/0000912057-96-020861/EX-10.4,1,1
1043276/0000928389-99-000187/-index-headers.html,1,1
1289490/0001628280-17-001815/gtm.start,1,1
1297846/0001014108-08-000133/primary_doc.html,1,1
1408961/0001144204-08-044648/R1.htm,1,1
805928/0001179110-17-000078/edgar.html,1,1
135219/0001214659-16-011482/cik1352190-20160331.xml,1,1
830656/0001144204-08-055083/v127581_ex.html,1,1
1616/0001616000-16-000160/xhr-20160930.xml,1,1
87347/0001382500-07-000004/edgardoc.html,1,1
7323/0000065984-16-000426/gtm.js,1,1
827165/0000930661-01-000901/0002.txt,1,1
51143/0001181431-06-030529/-index-headers.html,1,1
41304/0001047469-98-015185/EX-10.5,1,1
1411042/9999999997-10-002757/.hdr.sgml,1,1
829676/0000916641-00-000942/0003.txt,1,1
750574/0001181431-09-011956/rrd235523.html,1,1
1111496/0001047469-04-028624/R1.htm,1,1
51143/0001181431-06-039622/-index-headers.html,1,1
1534911/0001534911-16-000759/primary_doc.xml,1,1
78890/0001209191-06-025310/-index-headers.html,1,1
1001039/0001225208-10-007016/-index-headers.html,1,1
1092839/0001193125-08-051737/R1.htm,1,1
1475958/0001437749-10-004473/R1.htm,1,1
923657/0000919574-07-003266/R1.htm,1,1
1415404/0001184607-16-000012/gtm.js,1,1
1367001/0000950123-10-035250/R1.htm,1,1
1061134/0001061134-06-000005/R1.htm,1,1
1306965/0001193125-16-499117/R1.htm,1,1
826683/0000950005-00-001143/0002.txt,1,1
1001185/0001001185-00-000023/-index-headers.html,1,1
87047/0000087047-11-000032/sbp13e3102811.htmSB,1,1
1389098/0000905148-08-001825/R1.htm,1,1
1031002/0000065100-01-000023/0001.txt,1,1
1672572/0001672572-17-000011/R19.htm,1,1
1000298/0001638599-17-000649/xslF345X03/doc4.xml,1,1
51143/0001181431-04-020926/-index-headers.html,1,1
1311539/0001020242-05-000467/R1.htm,1,1
51143/0001104659-14-003556/-index-headers.html,1,1
860546/0000912057-00-012064/EX-10.9,1,1
51143/0001181431-07-000080/-index-headers.html,1,1
106311/0001471242-11-000375/-index-headers.html,1,1
1257211/0001520896-11-000039/.txt,1,1
899749/0000950123-10-112543/-index-headers.html,1,1
1171662/0000950144-04-010964/-index-headers.html,1,1
896156/0001437749-17-001153/gtm.js,1,1
51143/0001181431-05-024711/-index-headers.html,1,1
1101239/0001193125-16-803933/gtm.js,1,1
310354/0000313116-97-000011/.txt,1,1
1086555/0000950123-17-000212/.hdr.sgml,1,1
1687618/0001687618-17-000008/primary_doc.xml,1,1
1104188/0001021408-03-003699/-index-headers.html,1,1
1021561/0001021561-07-000074/-index-headers.html,1,1
66901/0000065984-16-000426/gtm.start,1,1
1340041/0001340041-11-036497/primary_doc.xml,1,1
320351/0000320351-07-000019/-index-headers.html,1,1
839923/9999999997-03-000870/-index-headers.html,1,1
896156/0000315066-16-005080/gtm.start,1,1
1082433/0001204459-04-000063/R1.htm,1,1
717826/0001193125-15-025008/gtm.js,1,1
1478118/0001478118-10-000004/primary_doc.xml,1,1
1570103/0001570103-13-000002/primary_doc.xml,1,1
768892/0000950116-00-002520/0006.txt,1,1
1453818/0001262959-10-000006/R1.htm,1,1
51143/0001104659-04-021678/-index-headers.html,1,1
1273988/0001561661-16-000057/R1.htm,1,1
320351/0000320351-11-000022/-index-headers.html,1,1
51143/0001181431-06-040047/-index-headers.html,1,1
937556/0000937556-17-000058/wf-form4_148918522397445.html,1,1
75340/0001005477-00-007725/0002.txt,1,1
1282663/0001101215-17-000083/R1.htm,1,1
1022408/0001140361-16-080920/gtm.start,1,1
1391323/0000950135-08-002854/stratus.consult.1996.06.15.shtml,1,1
1220672/0001020242-04-000310/R1.htm,1,1
925541/0001176256-10-000743/R1.htm,1,1
1029199/0001029199-16-000202/gtm.js,1,1
1101093/0001453623-10-000017/R1.htm,1,1
95552/0001182489-12-000996/-index-headers.html,1,1
78003/0001225208-17-000131/doc4.html,1,1
105189/0000950153-98-000548/EX-10.2,1,1
1535929/0001193125-17-214329/report.css,1,1
1177082/0001209191-17-023141/doc4.html,1,1
19469/0000949377-00-000692/-index-headers.html,1,1
773839/0000812909-98-000001/.txt,1,1
1026221/0001193805-04-000646/R1.htm,1,1
158199/0001104659-16-137857/pagp-20160630.xml,1,1
355999/0001209191-16-153792/gtm.js,1,1
1667297/0001667297-16-000003/primary_doc.xml,1,1
1574969/0001144204-17-034367/Financial_Report.xls,1,1
1297989/0001144204-16-125085/gtm.js,1,1
62996/0000062996-04-000110/-index-headers.html,1,1
1041859/0001445305-11-003516/Financial_Report.xlsx,1,1
810117/0000810117-12-005842/primary_doc.xml,1,1
51143/0001181431-05-040649/-index-headers.html,1,1
1030192/0001097630-01-000009/0001.txt,1,1
1343101/0001104659-08-033650/R1.htm,1,1
1072343/0001072343-09-000062/edgar.html,1,1
1056831/0000919574-16-012062/gtm.js,1,1
927066/0001181431-07-073192/-index-headers.html,1,1
1318285/0001209191-17-004567/doc4.html,1,1
708819/0001241921-13-000015/-index-headers.html,1,1
16918/0000016918-00-000009/0004.txt,1,1
858339/0000769993-02-000119/-index-headers.html,1,1
54050/0000950130-00-005403/0005.txt,1,1
1638732/0001638732-15-000496/primary_doc.xml,1,1
931491/0000931491-01-000002/0001.txt,1,1
51143/0001104659-08-015706/-index-headers.html,1,1
831375/0001093094-01-000021/0008.txt,1,1
783344/9999999997-16-017070/.txt,1,1
1429788/0001085146-10-000439/gtm.js,1,1
1379041/0001379041-16-000399/gtm.start,1,1
1035267/0001252986-11-000016/-index-headers.html,1,1
768408/0000768408-00-000003/0002.txt,1,1
1001039/0001225208-10-007442/-index-headers.html,1,1
768152/0001056520-00-000018/-index-headers.html,1,1
72162/0000072162-17-000026/primary_doc.xml,1,1
933452/0000950135-00-003083/0004.txt,1,1
51143/0001005477-98-001285/-index-headers.html,1,1
857737/0001193125-17-152195/Financial_Report.xlsx,1,1
1015194/0000938492-99-000431/-index-headers.html,1,1
1158463/0001179110-16-032425/edgar.html,1,1
58822/0001654954-17-003261/xsl/FilingSummary.xml,1,1
74585/0000950117-05-001631/R1.htm,1,1
1506481/0001144204-14-008633/R1.htm,1,1
1374128/0001193125-16-758872/gtm.start,1,1
788783/0000895813-01-000104/0002.txt,1,1
1690279/0001690279-17-000059/primary_doc.xml,1,1
1053532/0001193125-13-080418/-index-headers.html,1,1
875523/0000950136-00-001447/0004.txt,1,1
1018724/0001359804-13-000030/-index-headers.html,1,1
1562476/0001193125-17-215026/Financial_Report.xlsx,1,1
51143/0001181431-12-050682/-index-headers.html,1,1
1259887/0001398344-12-000911/.txt,1,1
77449/0001295984-08-000024/edgar.html,1,1
732412/0000912057-00-016587/EX-10.2,1,1
98222/0001140361-13-041854/-index-headers.html,1,1
38074/0000928464-12-000185/-index-headers.html,1,1
849869/0001140361-10-047171/-index-headers.html,1,1
1213037/0001104659-17-000633/a4.html,1,1
51143/0000950157-01-500781/-index-headers.html,1,1
1000300/0000950123-10-028350/R1.htm,1,1
883980/0001021408-00-002412/0003.txt,1,1
859621/0000950168-01-000757/0002.txt,1,1
720500/0000720500-17-000040/wf-form4_149703242984026.html,1,1
51143/0001181431-05-042828/-index-headers.html,1,1
1606366/0001564590-17-003982/gtm.js,1,1
1122411/0000950103-08-000563/-index-headers.html,1,1
51143/0001181431-11-055266/-index-headers.html,1,1
1335353/9999999997-10-005239/.hdr.sgml,1,1
310158/0001225208-17-007501/doc4.html,1,1
794927/0001058809-00-000029/0003.txt,1,1
760498/0000930661-01-000850/0004.txt,1,1
731131/0000711642-10-000355/R1.htm,1,1
1167178/0001047469-08-008964/benchmark.consult.1996.03.28.shtml,1,1
1546010/0001546010-12-000065/primary_doc.xml,1,1
104169/0001127602-17-019577/form4.html,1,1
80424/0001127602-17-011869/form4.html,1,1
1053532/0001181431-11-014574/-index-headers.html,1,1
51143/0001181431-09-023348/-index-headers.html,1,1
51143/0001181431-03-016782/-index-headers.html,1,1
1171662/0001209191-14-030748/-index-headers.html,1,1
87789/0000877890-16-000297/ctxs-20160630.xml,1,1
916457/0000919574-09-016765/-index-headers.html,1,1
1176267/0000839759-09-000122/R1.htm,1,1
1061574/0001193125-14-449724/R1.htm,1,1
808064/0000808064-00-000067/0002.txt,1,1
1283600/0001068238-04-000585/R1.htm,1,1
28871/0000028871-05-000006/R1.htm,1,1
1507986/0001144204-13-002190/R1.htm,1,1
19617/0000891092-17-004144/e74336_424b2.htm,1,1
1588961/0001588961-13-000004/primary_doc.xml,1,1
1038373/0000899681-01-000160/0001.txt,1,1
890821/0000950150-00-000394/-index-headers.html,1,1
51143/0001181431-05-054504/-index-headers.html,1,1
95304/0001036050-01-000346/0005.txt,1,1
78890/0001209191-09-007269/-index-headers.html,1,1
1424100/0001350071-14-000022/-index-headers.html,1,1
116532/0001445866-16-002367/gblx-20160331.xml,1,1
1504796/0001047469-12-004965/R1.htm,1,1
1601473/0001601473-14-019621/primary_doc.xml,1,1
59440/0001209191-05-062950/-index-headers.html,1,1
1181749/0001181749-13-000017/-index-headers.html,1,1
1026662/0000943440-05-000510/gtm.js,1,1
807249/0000807249-14-000152/.txt,1,1
897067/0001047469-98-028825/EX-10.12,1,1
909791/0000909791-17-000052/edgardoc.html,1,1
874019/0000950132-00-000691/0002.txt,1,1
105189/0000950147-00-001426/0009.txt,1,1
911317/0001090002-00-000430/0003.txt,1,1
19469/0000949377-06-001099/-index-headers.html,1,1
1297989/0001144204-17-011878/gtm.js,1,1
763730/0000763730-09-000005/R1.htm,1,1
313395/0000313395-08-002477/primary_doc.xml,1,1
137088/0001370880-17-000008/feye-20161231.xml,1,1
726603/0000726603-01-000002/0002.txt,1,1
887921/0001209191-08-065150/c78205_4x0.html,1,1
1642925/0001642925-15-003445/primary_doc.xml,1,1
785819/0001010549-04-000396/R1.htm,1,1
1334036/0001193125-12-325789/Financial_Report.xlsx,1,1
722654/9999999997-13-001370/.hdr.sgml,1,1
1040470/0001040470-07-000045/primary_doc.html,1,1
913144/0000950136-00-001087/0002.txt,1,1
1439242/0001144204-11-014936/R1.htm,1,1
725876/0000725876-99-000014/-index-headers.html,1,1
1464423/0001104659-14-007203/-index-headers.html,1,1
1056831/0000919574-14-000659/gtm.start,1,1
135609/0001356090-17-000003/xon-20161231.xml,1,1
934563/0001193125-16-751460/d276917d485bpos.html,1,1
888711/0000927016-00-003018/0009.txt,1,1
1001316/0000922423-00-001073/0001.txt,1,1
1053722/0001104659-04-008084/R1.htm,1,1
811713/0001104659-14-017787/-index-headers.html,1,1
888530/0000888530-16-000057/gtm.start,1,1
1084329/0001012870-00-000186/-index-headers.html,1,1
849869/0000849869-05-000008/-index-headers.html,1,1
1294478/0000891618-05-000269/R1.htm,1,1
1017918/0001140361-12-007606/-index-headers.html,1,1
51143/0001005477-00-006454/-index-headers.html,1,1
1626899/0001213900-16-011942/R1.htm,1,1
77543/0000077543-07-000134/form4_61807rb2ex.html,1,1
944148/0001209191-08-056600/c76087_4x0.html,1,1
1613103/0000064670-14-000029/mdt-2015q2xex322.htm,1,1
1171662/0000950144-06-004934/-index-headers.html,1,1
882509/0000914121-01-000174/0002.txt,1,1
1053532/0001181431-08-061722/-index-headers.html,1,1
1426945/0001426945-17-000009/gtm.js,1,1
1083318/0000912057-00-023710/-d2.html,1,1
39899/0001123292-12-000085/-index-headers.html,1,1
1559797/0001559797-12-000137/primary_doc.xml,1,1
51143/0001181431-05-024798/-index-headers.html,1,1
1216238/0001056404-04-001180/R1.htm,1,1
1434994/0001052918-16-001408/R1.htm,1,1
67716/0000067716-98-000030/-index-headers.html,1,1
1455926/0001052918-12-000278/-index-headers.html,1,1
797657/0001103132-05-000051/mit8kb05.htm,1,1
899749/0001209191-12-028567/-index-headers.html,1,1
1288756/0001282695-05-000304/R1.htm,1,1
1613385/0001613385-15-000001/primary_doc.xml,1,1
1519450/0001213900-13-004529/Financial_Report.xlsx,1,1
894158/0001144204-17-034221/Financial_Report.xlsx,1,1
910267/0001571049-17-006257/primary_doc.xml,1,1
927066/0001181431-10-013803/rrd268542.html,1,1
51143/0001181431-09-023328/-index-headers.html,1,1
1553079/0001193125-14-387251/gtm.start,1,1
1573683/0000912057-13-000234/-index-headers.html,1,1
130714/0001213900-16-018813/lmnk-20160930.xml,1,1
